      x1        x2         z
    0.9437    1.8143    0.0269
    0.8010   -0.6568   -0.4200
         0    0.8794    0.6531
    1.3614    1.7047    0.0179
    1.5867    1.5012    0.0158
    1.3085   -1.7458   -0.0172
    0.4345   -1.1440   -0.3839
    0.4345    0.5490    0.6684
   -1.4482    1.9573    0.0048
    1.3614    1.9573    0.0061
   -0.4071    1.8143    0.0645
   -0.9249   -1.1440   -0.2139
    1.3614   -0.8098   -0.1069
   -1.7202    0.3689    0.0323
    0.8010         0         0
   -0.1989   -0.1999   -0.3744
   -1.0969   -0.1999   -0.1214
    2.1163   -1.1440   -0.0053
   -0.7881    0.5490    0.4016
    1.9191         0         0
   -1.4482   -0.3841   -0.0755
    0.4345   -0.1999   -0.2899
    0.8010   -1.9764   -0.0178
   -1.9066   -1.7458   -0.0023
    1.3085   -1.4458   -0.0458
    1.9191    0.3689    0.0145
   -1.9888   -1.1440   -0.0089
    1.3085   -0.8098   -0.1396
    0.8010    1.2694    0.2184
    0.8010    1.8143    0.0410
   -1.4482    0.8794    0.0811
   -0.9249    1.0199    0.2576
   -1.9888   -1.8447   -0.0013
   -0.4071    1.0199    0.5002
    1.5867   -1.4458   -0.0191
   -0.1989    0.1830    0.3417
   -0.7881    1.0199    0.2995
    0.6109   -0.1999   -0.2705
   -1.7202   -1.9764   -0.0018
    0.4345   -1.7458   -0.0726
   -0.6339   -1.1440   -0.3549
    0.9437   -0.3841   -0.2664
         0   -1.9764   -0.0364
   -1.4482         0         0
   -0.4071   -0.1999   -0.3303
    0.4345    0.3689    0.5558
   -0.4071    0.1830    0.2799
   -1.7202    1.9573    0.0019
   -1.7202   -1.0446   -0.0304
   -1.0969   -0.3841   -0.1748
   -0.1989    0.5490    0.7667
    1.3614    0.8794    0.1076
    1.9191    0.1830    0.0093
   -0.9249   -0.3841   -0.2696
    1.3085   -1.1440   -0.0927
    2.1163    1.5012    0.0022
    0.6109    1.5012    0.1555
    2.1163   -0.1999   -0.0045
   -1.4482    1.2694    0.0501
   -1.7202   -0.3841   -0.0326
   -0.1989   -0.3841   -0.6051
   -0.1989    0.3689    0.5912
    2.1163    0.1830    0.0043
   -1.7202    1.2694    0.0187
   -0.7881   -0.6568   -0.4253
   -1.9888   -1.4458   -0.0046
    0.1872    1.8143    0.0715
    2.1163   -1.0446   -0.0071
    2.1163    1.7047    0.0013
    0.9437    0.8794    0.2656
    1.9191    0.5490    0.0199
   -0.4071    0.8794    0.5691
    0.1872    1.9573    0.0372
    1.9191    1.2694    0.0097
   -0.9249         0         0
    1.5867   -0.1999   -0.0278
    0.1872    0.1830    0.3638
         0    1.8143    0.0682
    2.1163    0.5490    0.0093
   -1.7202   -1.8447   -0.0035
   -0.9249    1.5012    0.0895
   -0.9249   -1.0446   -0.2349
   -1.0969   -1.8447   -0.0191
   -1.4482   -1.8447   -0.0080
   -0.4071    1.7047    0.0902
   -0.1989   -1.8447   -0.0661
   -0.6339    1.7047    0.0700
    0.6109   -1.0446   -0.3750
    1.3085    1.2694    0.0698
   -1.9066   -0.3841   -0.0156
    2.1163    1.2694    0.0042
   -0.6339    0.8794    0.5182
    0.6109    0.1830    0.2593
   -0.1989    1.0199    0.6151
    0.6109   -0.6568   -0.5616
   -1.7202    1.5012    0.0106
    1.5867   -1.9764   -0.0030
   -1.0969    0.3689    0.1971
   -0.9249    1.8143    0.0293
    0.9437         0         0
    0.4345   -1.0446   -0.4424
   -0.1989    0.8794    0.6171
    2.1163   -1.9764   -0.0004
    0.6109    0.3689    0.4371
         0    0.5490    0.7202
    1.3085    0.8794    0.1308
   -1.4482   -1.0446   -0.0782
   -1.9888   -0.3841   -0.0135
    0.4345   -1.4458   -0.2131
   -1.7202    0.8794    0.0355
   -0.9249    0.1830    0.1554
    0.6109    1.9573    0.0293
    0.4345   -0.8098   -0.6717
    0.1872    0.5490    0.6737
    1.3085    1.5012    0.0358
   -0.4071   -0.8098   -0.6700
    1.5867    1.0199    0.0474
   -1.9066    1.7047    0.0030
   -0.1989   -1.0446   -0.5265
   -1.9066    0.5490    0.0207
   -0.7881    0.8794    0.3670
   -1.9066   -0.6568   -0.0216
   -0.4071    1.5012    0.1896
    2.1163   -1.4458   -0.0030
   -0.6339    1.0199    0.4373
    0.6109    0.8794    0.4657
    0.6109   -1.7458   -0.0654
         0   -0.1999   -0.3931
    1.5867         0         0
    1.5867   -0.8098   -0.0614
    0.8010   -1.4458   -0.1183
   -1.0969    1.8143    0.0234
   -1.7202   -1.4458   -0.0130
   -1.7202   -0.1999   -0.0216
    1.9191    1.8143    0.0017
   -0.4071    0.3689    0.5853
    0.6109    1.2694    0.2384
    0.1872    0.3689    0.6195
    1.3085    0.1830    0.0667
   -0.6339    0.3689    0.4556
   -0.9249    1.9573    0.0175
         0   -1.0446   -0.6023
